record_num,ground_truth,consensus_correct,trend_trust,pattern_trust,anomaly_trust
259,False,True,0.8759752400069226,0.8871256876525415,1.0
260,False,True,0.876117179607763,0.8871104368949503,1.0
261,False,True,0.8762917211889715,0.8871398512207225,1.0
262,True,True,0.8764952486898463,0.8870190219921864,1.0
263,False,True,0.8765351177602556,0.8869534834293314,1.0
264,True,True,0.8766174550408339,0.8869373803694172,1.0
265,True,True,0.8767376644239686,0.8869654468437537,1.0
266,True,True,0.876891613337377,0.8870329471031986,1.0
267,False,True,0.8768890191678184,0.8871356225421325,1.0
268,False,True,0.8769324592584715,0.8872696439310419,1.0
269,False,True,0.8770169911104022,0.8874315684268267,1.0
270,False,True,0.8771381702281443,0.8876183008830371,1.0
271,False,True,0.8772920002641534,0.8878270590300275,1.0
272,False,True,0.877474888149826,0.8880553421380137,1.0
273,False,True,0.8776836037144055,0.8881184210628985,1.0
274,False,True,0.8779152433429649,0.8880338516838815,1.0
275,True,True,0.878167197269538,0.8879985824575223,1.0
276,False,True,0.8782566147266997,0.8880073884716979,1.0
277,False,True,0.8783805935417996,0.8880555704878375,1.0
278,False,True,0.8785353657288383,0.8881389023279427,1.0
279,False,True,0.8787175434416687,0.8882535835237199,1.0
280,False,True,0.8789240809124486,0.8883961967015971,1.0
281,True,True,0.8791522401970902,0.8883863642654799,1.0
282,False,True,0.8792228819017628,0.8884169857894619,1.0
283,False,True,0.8793287627256711,0.8884837379147411,1.0
284,False,True,0.8794660618917005,0.8884072939478284,1.0
285,False,True,0.8796313438144185,0.8883777533642343,1.0
286,False,True,0.8798215195375063,0.8883901522438388,1.0
287,False,True,0.8800338120282002,0.8884400259083438,1.0
288,False,True,0.8802657249430272,0.8885233589576479,1.0
289,False,True,0.8805150145176901,0.8886365403032624,1.0
290,False,True,0.8807796642686703,0.888776322699053,1.0
291,False,True,0.8810578622253649,0.8889397863195587,1.0
292,False,True,0.8813479804396884,0.8891243059811182,1.0
293,False,True,0.8816485565453794,0.8893275216415099,1.0
294,False,True,0.881958277162028,0.8895473118502403,1.0
295,False,True,0.8822759629593387,0.8896128509354865,1.0
296,True,True,0.8826005552155934,0.8897088048991769,1.0
297,False,True,0.8827633184859804,0.8898318841408029,1.0
298,True,True,0.8829485250989209,0.8899791305093314,1.0
299,False,True,0.8829870059223621,0.890147884125065,1.0
300,True,False,0.8828942853965711,0.8901696405630569,1.0
301,True,True,0.8828498899694969,0.8900599612749632,1.0
302,True,False,0.8826837128537353,0.8898328430352558,1.0
303,True,True,0.8825732363052039,0.8896653482054144,1.0
304,False,True,0.8823486995599295,0.8895512724012665,1.0
305,True,True,0.8821857250287731,0.8893216353572183,1.0
306,True,True,0.8820779017115635,0.8889888203556984,1.0
307,False,False,0.8818571245274203,0.8885639642941545,1.0
308,False,True,0.8816973020423158,0.8882188947255805,1.0
309,True,True,0.8815920879671164,0.887784102027216,1.0
